description,target
AXIS BANK LTD - 36010200004640 - Deposi,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 36010200004657 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 36010200004657 - Deposi,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 36010200004664 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 8010200032993 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 8010200032993 - Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 8010200034584 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 8010200045012 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 911020021892032 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 008010200047445 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 008010200047445 Depos,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 008010200047445 Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 008010200087106 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 008010200087106 Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 910020045517275 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 910020045517275 Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 008010200084057 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 008010200084057 Depos,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 912020027440203 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 912020027440203 Depos,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 912020027440203 Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 008010200081148 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 261010200007603 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK 008010101550991 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK 911020067570684 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK 911020067570684 Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis bank Ltd 914020020545882 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis bank Ltd 914020020545882 Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis bank Ltd 914020028534118 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank - 912020038012950-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank - 915020039485796-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd. 915020043902454-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd. 915020043902454-Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd. 915020044036936-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd. 915020043902438-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd. 915020052603344-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd. 915020049664536-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd. 916020005176104-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd.916020019817453-Main (Esc,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd. 915020044337080 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd. 916020030541861 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd.915020045578958-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd-913020033588792 -Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd.- 916020022488745-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd.- 916020022488745-Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd - 917020021603397-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd - 917020024974865-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd-917020049798125-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd-917020043847397-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd-917020048887817-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd-917020078799544-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd-917020078799544-Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd-917020082928565-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd -915020052504412-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd -911020001122751-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd -911020001151380-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis bank 008010200068891 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis bank 008010200068891 Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis bank 911020021893611 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank - 919020014920283- Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI Bank-016705008905-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank-914020005086201-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank-'911020055865930-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank-140010200024842-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank-140010200024727-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
HDFC Bank (Escrow) 50100229488240-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK LIMITED - 000805013995 - Mai,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK 000805014501 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK 190005000066 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK 000805014500 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK 000805014519 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK LTD 033405003430 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK LIMITED 000805014496 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK - 000805014517 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK - 000805002434 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Icici Bank Ltd- 108705001858- Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Icici Bank Ltd- 108705001858- Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK - 325305000374�- Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK - 325305000367�- Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK - 000805017048�- Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK - 000805017049�- Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK -  000805017053 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK-004005017743- Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India(Escrow)-36225550146,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-36625373411-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-37619378932 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-37621404960 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-37621405136 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-37621405238 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-37621405363 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-37621405602 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-37621405759 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-37621417629 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-37621434214 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-37621434349 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-37621434521 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-37621434702 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-37559744009 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-37559751538 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-38201505151 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-38123414773 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank 38174448248 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank 38174447618  Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India 38186759735 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-37619378932 Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
INDUS IND BANK 200000521987 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
INDUS IND BANK 200000521987 Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
INDUS IND BANK 200999296457 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
INDUS IND BANK 200999296457 Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
INDUS IND BANK 200999708868 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
INDUS IND BANK 200999708868 Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
DENA BANK 131111031105 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
DENA BANK 123911031060 Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
DENA BANK 123911031060 Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
DENA BANK 131111031175 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
DENA BANK 131111031175  Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Canara Bank - 2799201000306 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Canara Bank - 2799201000306 Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Canara Bank Escrow-8444201000103 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
IOB Bank-42902000003004-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Indian Bank-6346303328-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Indian Bank-6346303328-Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Indian Bank-6346303328-Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
IOB Bank-222002000001072-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
IOB Bank-222002000001072-Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Corp Bank-520141001664576-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD-911020021892032-Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd - 917020021603397-Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd-917020043847397-Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India-36483503086-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK LTD 000851000233 Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 16010200024426 - Deposi,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 16010200024435 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 36010200004657 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 36010200004664 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis bank Ltd 914020028534118 Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd. 916020005176104-Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 8010200034584 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank - 919020014920283- Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 911020027709880 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 911020029756068 Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
INGVYSYA - 700011036478 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK LIMITED - 000805014554- Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK 190005000066 Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK 000905006369 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK 000805014537 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK LIMITED 000805014496 Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK - 000805002434 - Depoist,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
INDUS IND BANK 200999708905 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
DENA BANK 131111031105 Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
DENA BANK 123911031060 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Current-Balance with bank-On Cash credit account,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Current-Cheques on hand,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Yes Bank-00068130000,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Yes Bank-00068130000,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-008010200027025,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-008010200046570,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-008010200061205,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-008010200072122,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-008010200072122,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-041010200011769,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-041010200011893,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-041010200011893,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-043010200022710,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-043010200022710,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-075010200017204,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-075010200017204,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-097010200004985,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-097010200004985,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-097010200005203,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-133010200008433,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-138010200009270,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-138010200009270,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-381010200002790,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-559010200002660,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-559010200004572,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-910020007010682,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-910020015388890,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-910020015388890,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-910020019704339,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-910020034114575,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-910020034523209,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis-910020046303002,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
